"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","12039999.961853","40430000.3051758","20909999.8474121","19290000.9155273","24329999.9237061","29979999.5422363","24969999.3133545","29979999.5422363","24860000.6103516","18260000.2288818","25799999.2370605","19530000.6866455","25069999.6948242","11260000.2288818","-7380000.11444092","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","17180000.3051758","34669998.1689453","16930000.3051758","36669998.1689453","46169998.1689453","53930000.3051758","50840000.1525879","41080001.8310547","29239999.7711182","27250000","27610000.6103516","44439998.626709","55180000.3051758","55720001.2207031","48909999.8474121","66980003.3569336","70199996.9482422","82720001.2207031","74500000","99209999.0844727","28600000.3814697","22950000.7629395","9739999.77111816","13479999.5422363","6710000.03814697","16319999.6948242","2650000.09536743","46520000.4577637","73500000","149320007.324219","122720001.220703","508540008.544922","204800003.051758","223800003.051758","226419998.168945","212529998.779297","169630004.882813","230750000","164199996.948242","142860000.610352","136009994.506836","410359985.351563","1223290039.0625","1538229980.46875","2268530029.29688","2815100097.65625","2895830078.125","4982609863.28125","4811209960.9375","6113120117.1875","6235319824.21875","6745740234.375","6666770019.53125","5152540039.0625","4942970214.84375","4274229980.46875","4069419921.875","3811739990.23438","3788889892.57813","",
"Angola","AGO","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","-50000.0007450581","23549999.2370605","","29999.9993294477","","1110000.01430511","2859999.89509583","18180000.3051758","9999.99977648258","-109999.999403954","-29999.9993294477","0","90000.0035762787","159999.996423721","370000.004768372","4760000.22888184","17479999.5422363","47500000","46869998.9318848","47060001.373291","52439998.626709","60220001.2207031","59069999.6948242","73879997.253418","93410003.6621094","90489997.8637695","130250000","134429992.675781","157029998.779297","167059997.558594","265769989.013672","277079986.572266","343589996.337891","289390014.648438","447070007.324219","416420013.427734","459309997.558594","354660003.662109","335269989.013672","387540008.544922","302209991.455078","282730010.986328","414029998.779297","493500000","1144569946.28906","414679992.675781","163520004.272461","259980010.986328","369040008.544922","238940002.441406","235169998.168945","192940002.441406","243610000.610352","285540008.544922","235389999.389648","380059997.558594","206529998.779297","223220001.220703","159449996.948242","",
"Albania","ALB","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5559999.94277954","10340000.1525879","11050000.1907349","331950012.207031","409640014.648438","270679992.675781","163100006.103516","180600006.103516","226639999.389648","168229995.727539","268739990.234375","488179992.675781","317850006.103516","268529998.779297","307359985.351563","349309997.558594","300940002.441406","315079986.572266","324040008.544922","308630004.882813","364839996.337891","357149993.896484","365070007.324219","379480010.986328","349160003.662109","269980010.986328","281170013.427734","335160003.662109","171039993.286133","168210006.713867","342890014.648438","",
"Andorra","AND","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","881989992.60366","973930003.583431","929090004.205704","858610001.783818","831419999.182225","666059995.759278","688239991.614595","454269995.508715","499770002.974198","492899994.194508","713500001.106411","730710006.214679","875479998.365044","2169269978.22523","3869830047.78623","5702299892.99179","5924509939.13412","6996859862.86402","6880979954.79406","8042799885.79453","9272629957.25869","8876639943.33149","7479719998.71732","6480009941.3395","6031929985.88086","6729439941.28704","6399709944.2482","6784450071.09642","5300050009.60827","5128569936.99074","12762750096.0827","11533449827.1942","8300329899.54949","7335299915.0753","7671250001.43052","6020099861.86027","6339909894.4664","5880489985.82363","6469100033.76007","5494709961.89118","5060029939.65149","5458000011.4441","5285759941.10108","9061279860.49652","11649559841.156","29295579914.093","17562190309.5245","19061669792.1753","22708200317.3828","14318329856.8726","12318010100.8415","13655589836.1206","15120080116.272","22498559654.2358","22269969970.7031","20726760292.0532","27757370086.6699","29987989704.1321","33835430511.4746","",
"United Arab Emirates","ARE","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","409999.996423721","540000.021457672","430000.007152557","389999.985694885","579999.983310699","19999.9995529652","1299999.95231628","1570000.05245209","1129999.99523163","870000.004768372","5289999.96185303","5610000.1335144","4679999.82833862","759999.990463257","589999.973773956","4050000.19073486","1039999.96185303","34860000.6103516","1690000.05722046","7030000.20980835","4079999.92370605","330000.013113022","4690000.05722046","4309999.94277954","3319999.9332428","4050000.19073486","34180000.3051758","114680000.305176","-11970000.2670288","-5929999.82833862","3539999.96185303","-7659999.84741211","-9729999.54223633","-10170000.0762939","-8029999.73297119","5409999.84741211","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","44049999.2370605","54790000.9155273","55159999.8474121","27870000.8392334","-5289999.96185303","-57150001.5258789","-9279999.73297119","8979999.54223633","2720000.02861023","17579999.9237061","-2440000.05722046","4980000.01907349","1889999.98569489","13560000.4196167","15949999.8092651","12000000","14090000.1525879","16389999.3896484","16760000.2288818","28270000.4577637","43680000.3051758","36830001.8310547","29489999.7711182","34419998.1689453","32740001.6784668","39080001.8310547","73669998.1689453","83389999.3896484","142479995.727539","201610000.610352","171630004.882813","277769989.013672","266730010.986328","245949996.948242","160919998.168945","148179992.675781","122440002.441406","99260002.1362305","73959999.0844727","82379997.253418","74559997.5585938","157639999.389648","98989997.8637695","117720001.220703","97339996.3378906","93870002.746582","114209999.084473","90230003.3569336","125019996.643066","116029998.779297","130309997.558594","97050003.0517578","177759994.506836","34729999.5422363","48790000.9155273","-18870000.8392334","2619999.88555908","-1169999.95708466","70989997.8637695","",
"Armenia","ARM","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2720000.02861023","22450000.7629395","109459999.084473","191270004.272461","217710006.713867","292279998.779297","166270004.272461","194259994.506836","209240005.493164","215889999.389648","211470001.220703","295220001.220703","250399993.896484","256119995.117188","172619995.117188","215389999.389648","351899993.896484","296029998.779297","405600006.103516","320320007.324219","375989990.234375","270559997.558594","280359985.351563","267429992.675781","347480010.986328","326429992.675781","256200012.207031","139089996.337891","",
"American Samoa","ASM","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
